x,Throttle Profile [km/h]0,fw Speed [mm/s]1,bw Speed [mm/s]2,fw Speed [km/h]3,bw Speed [km/h]4,Speed Table [0-255]5
0,0,0,0,0,0,0
1,0.5,0,0,0,0,30
2,1,5.790447712,5.412167072,0.469026265,0.438385533,42
3,1.5,6.917345524,6.43093586,0.560304987,0.520905805,52
4,2,7.348713398,6.817714214,0.595245785,0.552234851,61
5,2.5,20.47332001,7.324420929,1.658338921,0.593278095,72
6,3,8.495250702,7.937829018,0.688115307,0.64296415,81
7,3.5,9.584730148,8.903287888,0.776363142,0.721166319,90
8,4,10.74941921,12.07000065,0.870702956,0.977670053,99
9,4.5,13.0134964,15.56853962,1.054093208,1.261051709,105
10,5,15.68153095,17.96016693,1.270204007,1.454773521,111
11,5.5,17.01245117,21.4472065,1.378008545,1.737223727,115
12,6,20.28225899,24.5516758,1.642862978,1.98868574,119
13,6.5,22.49490547,27.76247025,1.822087343,2.24876009,126
14,7,26.35518074,32.340168,2.13476964,2.619553608,133
15,7.5,30.15691185,36.66980743,2.44270986,2.970254402,143
16,8,31.44898033,36.65335083,2.547367407,2.968921417,153
17,8.5,35.49277496,40.59648895,2.874914772,3.288315605,162
18,9,39.49808121,45.54262924,3.199344578,3.688952968,166
19,9.5,43.94852066,50.60533524,3.559830173,4.099032154,175
20,10,50.22693253,55.99090576,4.068381535,4.535263367,196
21,10.5,52.52864075,59.48792648,4.254819901,4.818522045,99
22,11,57.85274506,66.79338837,4.68607235,5.410264458,99
23,11.5,63.66519165,73.46590424,5.156880524,5.950738243,99
24,12,67.15843964,78.11239624,5.439833611,6.327104095,99
25,12.5,73.72129059,85.26161194,5.971424538,6.906190567,99
26,13,77.03881836,89.14064026,6.240144287,7.220391861,99
27,13.5,83.88448334,98.21669006,6.794643151,7.955551895,99
28,14,89.20805359,105.4945908,7.225852341,8.545061855,undefined
29,14.5,97.31655121,116.3851852,7.882640648,9.427200001,undefined
30,15,103.1226959,123.0029602,8.352938368,9.963239776,undefined
